service_id,date,exception_type
weekday,20180429,2
weekend,20180429,1
weekday,20180430,2
weekend,20180430,1
weekday,20180503,2
weekend,20180503,1
weekday,20180504,2
weekend,20180504,1
weekday,20180505,2
weekend,20180505,1
weekday,20180716,2
weekend,20180716,1
weekday,20180811,2
weekend,20180811,1
weekday,20180813,2
weekend,20180813,1
weekday,20180814,2
weekend,20180814,1
weekday,20180815,2
weekend,20180815,1
weekday,20180917,2
weekend,20180917,1
weekday,20180923,2
weekend,20180923,1
weekday,20180924,2
weekend,20180924,1
weekday,20181008,2
weekend,20181008,1
weekday,20181103,2
weekend,20181103,1
weekday,20181123,2
weekend,20181123,1
weekday,20181223,2
weekend,20181223,1
weekday,20181224,2
weekend,20181224,1
weekday,20190101,2
weekend,20190101,1
weekday,20190114,2
weekend,20190114,1
weekday,20190211,2
weekend,20190211,1
weekday,20190321,2
weekend,20190321,1
