fare_id,rider_category_id,currency_type,price
k_160,2,JPY,80
k_170,2,JPY,90
k_190,2,JPY,100
k_200,2,JPY,100
k_210,2,JPY,110
k_220,2,JPY,110
k_230,2,JPY,120
k_240,2,JPY,120
k_250,2,JPY,130
k_260,2,JPY,130
k_270,2,JPY,140
k_280,2,JPY,140
k_290,2,JPY,150
k_300,2,JPY,150
k_310,2,JPY,160
k_320,2,JPY,160
k_330,2,JPY,170
k_340,2,JPY,170
k_350,2,JPY,180
k_360,2,JPY,180
k_370,2,JPY,190
k_380,2,JPY,190
k_390,2,JPY,200
k_400,2,JPY,200
k_410,2,JPY,210
k_420,2,JPY,210
k_430,2,JPY,220
k_440,2,JPY,220
k_450,2,JPY,230
k_460,2,JPY,230
k_470,2,JPY,240
k_480,2,JPY,240
k_490,2,JPY,250
k_500,2,JPY,250
k_510,2,JPY,260
k_530,2,JPY,270
k_550,2,JPY,280
k_560,2,JPY,280
k_570,2,JPY,290
k_580,2,JPY,290
k_590,2,JPY,300
k_610,2,JPY,310
k_620,2,JPY,310
k_630,2,JPY,320
k_640,2,JPY,320
k_650,2,JPY,330
